lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-OAS30001_ses-d0129,758.0,641.0,1760.0,1287.0,474.0,2602.0,3867.0,2987.0,867.0,4853.0,2619.0,2913.0,1691.0,2344.0,557.0,1186.0,1339.0,694.0,1190.0,1295.0,3407.0,1038.0,4618.0,3089.0,597.0,4278.0,6034.0,4739.0,2829.0,2726.0,235.0,499.0,292.0,1890.0,72193.1,931660.0,1253533.309006
sub-OAS30001_ses-d0757,761.0,598.0,1694.0,1280.0,508.0,2638.0,3902.0,2944.0,819.0,4757.0,2529.0,2802.0,1467.0,2314.0,573.0,1163.0,1326.0,664.0,1211.0,1257.0,3405.0,1026.0,4592.0,3032.0,605.0,4198.0,5912.0,4700.0,2749.0,2800.0,225.0,493.0,307.0,2060.0,71310.2,921084.0,1256585.452264
sub-OAS30001_ses-d2430,746.0,588.0,1635.0,1222.0,394.0,2531.0,3818.0,2729.0,839.0,4687.0,2507.0,2842.0,1563.0,2169.0,626.0,1140.0,1339.0,626.0,1175.0,1186.0,3333.0,1001.0,4506.0,2975.0,583.0,4062.0,5802.0,4675.0,2687.0,2741.0,224.0,483.0,300.0,1944.0,69678.7,888504.0,1220444.263051
sub-OAS30001_ses-d3132,727.0,592.0,1663.0,1222.0,459.0,2555.0,3751.0,2700.0,855.0,4605.0,2479.0,2771.0,1492.0,2177.0,550.0,1149.0,1291.0,632.0,1141.0,1210.0,3417.0,1016.0,4647.0,2967.0,613.0,4022.0,5828.0,4597.0,2756.0,2748.0,233.0,460.0,296.0,1871.0,69493.2,887084.0,1243000.38354
sub-OAS30001_ses-d3746,720.0,562.0,1612.0,1195.0,428.0,2489.0,3705.0,2684.0,806.0,4597.0,2378.0,2712.0,1534.0,2218.0,622.0,1123.0,1258.0,615.0,1127.0,1226.0,3289.0,977.0,4480.0,2930.0,543.0,3905.0,5620.0,4526.0,2735.0,2680.0,259.0,505.0,292.0,1818.0,68168.6,866258.0,1199578.154008
sub-OAS30001_ses-d4467,697.0,600.0,1575.0,1252.0,396.0,2553.0,3756.0,2650.0,830.0,4610.0,2390.0,2809.0,1510.0,2068.0,539.0,1142.0,1252.0,625.0,1126.0,1173.0,3313.0,992.0,4461.0,2928.0,487.0,3860.0,5488.0,4655.0,2767.0,2711.0,264.0,524.0,296.0,1933.0,68232.8,873792.0,1224394.293131
sub-OAS30002_ses-d0371,1039.0,657.0,2188.0,1824.0,524.0,3388.0,3697.0,3146.0,1080.0,4690.0,3026.0,3315.0,2152.0,3018.0,772.0,1546.0,1761.0,639.0,1300.0,1815.0,4420.0,1146.0,5701.0,4212.0,1031.0,5596.0,7142.0,5479.0,4231.0,5299.0,265.0,523.0,495.0,2445.0,89560.9,1217924.0,1634192.862611
sub-OAS30002_ses-d0653,895.0,739.0,2114.0,1610.0,480.0,3209.0,3500.0,2967.0,1095.0,4261.0,2835.0,3138.0,1925.0,3006.0,752.0,1409.0,1789.0,638.0,1290.0,1675.0,4178.0,1283.0,5231.0,4040.0,1036.0,5288.0,6936.0,5229.0,4105.0,5374.0,283.0,570.0,473.0,2302.0,85652.8,1177880.0,1654218.539455
sub-OAS30002_ses-d1680,881.0,674.0,2110.0,1619.0,444.0,3165.0,3442.0,2908.0,1055.0,4149.0,2856.0,3012.0,1982.0,3004.0,725.0,1384.0,1777.0,613.0,1264.0,1675.0,4132.0,1185.0,5231.0,4032.0,952.0,5239.0,6889.0,5122.0,4045.0,5341.0,286.0,520.0,471.0,2342.0,84524.1,1152463.0,1639083.733857
sub-OAS30002_ses-d2340,876.0,718.0,2076.0,1634.0,496.0,3109.0,3369.0,2863.0,1103.0,4186.0,2757.0,3068.0,1929.0,2996.0,728.0,1385.0,1753.0,604.0,1278.0,1668.0,4139.0,1179.0,5121.0,3896.0,961.0,5225.0,7019.0,5078.0,4059.0,5171.0,284.0,539.0,436.0,2413.0,84115.5,1133109.0,1588045.753384
