rh.aparc.thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
sub-OAS30001_ses-d0129,2.507,2.385,2.508,1.851,3.375,2.695,2.44,2.777,2.431,2.223,2.375,1.846,2.214,2.739,2.713,2.567,2.539,2.592,2.347,1.598,2.078,2.343,2.491,2.436,2.662,2.231,2.565,2.304,2.72,2.489,2.573,3.7,2.38,2.827,2.41759,931660.0,1253533.309006
sub-OAS30001_ses-d0757,2.517,2.45,2.483,1.932,3.49,2.776,2.417,2.782,2.24,2.232,2.507,1.904,2.253,2.755,2.718,2.477,2.53,2.553,2.289,1.562,2.009,2.41,2.507,2.458,2.499,2.214,2.575,2.287,2.692,2.442,2.48,3.747,2.33,2.748,2.41874,921084.0,1256585.452264
sub-OAS30001_ses-d2430,2.515,2.319,2.375,1.868,3.28,2.665,2.425,2.71,2.245,2.185,2.49,1.926,2.093,2.707,2.699,2.51,2.475,2.506,2.301,1.701,1.997,2.451,2.454,2.368,2.679,2.248,2.513,2.2,2.652,2.427,2.474,3.612,2.344,2.821,2.3809,888504.0,1220444.263051
sub-OAS30001_ses-d3132,2.596,2.442,2.477,1.935,3.435,2.741,2.412,2.755,2.289,2.222,2.554,1.945,2.218,2.766,2.731,2.541,2.498,2.544,2.369,1.644,2.038,2.443,2.538,2.365,2.637,2.213,2.496,2.213,2.681,2.472,2.545,3.585,2.31,2.772,2.41147,887084.0,1243000.38354
sub-OAS30001_ses-d3746,2.548,2.685,2.382,1.975,3.404,2.746,2.405,2.799,2.3,2.195,2.514,1.945,2.138,2.706,2.682,2.52,2.502,2.444,2.224,1.638,2.008,2.628,2.443,2.388,2.744,2.155,2.44,2.147,2.647,2.434,2.517,3.62,2.297,2.806,2.38097,866258.0,1199578.154008
sub-OAS30001_ses-d4467,2.608,2.684,2.444,1.855,3.524,2.624,2.298,2.747,2.391,2.172,2.559,1.836,2.233,2.735,2.706,2.425,2.582,2.551,2.32,1.518,1.966,2.409,2.476,2.347,2.702,2.228,2.498,2.15,2.619,2.409,2.852,3.497,2.208,2.692,2.3705,873792.0,1224394.293131
sub-OAS30002_ses-d0371,2.373,2.189,2.31,1.644,3.239,2.595,2.139,2.822,2.098,2.037,2.519,1.833,2.351,2.704,2.609,2.017,2.364,2.445,2.516,1.459,2.007,2.262,2.008,2.131,2.666,2.169,2.569,1.886,2.925,2.196,2.485,3.746,2.672,3.037,2.28797,1217924.0,1634192.862611
sub-OAS30002_ses-d0653,2.629,2.149,2.413,1.986,3.258,2.836,2.416,2.874,2.581,2.435,2.484,2.164,2.399,2.769,2.778,2.469,2.505,2.402,2.445,1.728,2.161,2.309,2.492,2.281,2.607,2.188,2.562,2.023,2.935,2.444,2.437,3.839,2.628,3.085,2.45148,1177880.0,1654218.539455
sub-OAS30002_ses-d1680,2.521,2.096,2.433,1.99,3.212,2.822,2.332,2.795,2.21,2.397,2.487,2.126,2.353,2.724,2.724,2.372,2.528,2.349,2.458,1.7,2.065,2.241,2.364,2.263,2.561,2.202,2.563,1.932,2.871,2.346,2.449,3.711,2.502,3.055,2.40086,1152463.0,1639083.733857
sub-OAS30002_ses-d2340,2.529,2.216,2.376,1.831,3.289,2.768,2.283,2.761,2.318,2.325,2.561,2.115,2.392,2.712,2.671,2.354,2.498,2.484,2.438,1.66,2.004,2.313,2.387,2.191,2.745,2.186,2.549,1.885,2.828,2.358,2.409,3.594,2.479,3.018,2.3772,1133109.0,1588045.753384
